Sequential, Surplus Tuning 2:Thread 2, Surplus Tuning 3:Thread 2, Surplus Tuning 4:Thread 2, Index Tuning 13:Thread 2, Index Tuning 15:Thread 2, Index Tuning 17:Thread 2, Index Tuning 20:Thread 2, MaxTasks Tuning 2:Thread 2, Surplus Tuning 2:Thread 4, Surplus Tuning 3:Thread 4, Surplus Tuning 4:Thread 4, Index Tuning 13:Thread 4, Index Tuning 15:Thread 4, Index Tuning 17:Thread 4, Index Tuning 20:Thread 4, MaxTasks Tuning 2:Thread 4
5760762924,3228449029,2289022070,2430392093,4332034275,2588524226,2826872244,3397111043,2610255056,2901258734,2959358509,3138545594,2128981210,2420186452,2331067414,3410646367,9006675946
4672347121,2731532285,2983859830,3662558459,2449700340,2021511598,1940175384,4006388037,2608739020,2487988570,2139702846,2394839125,2384755478,2249552524,2337253211,3810678305,8127808460
6079623205,3062935950,4708464948,4354164690,2100112160,2052195765,2315139603,3025589507,2187718339,2261379571,2197884618,2425498736,2239423660,3253235883,1809274325,3148151996,6594838357
4246236335,2148413334,2289381794,2232112906,1959088618,1778702946,1776136285,2917379904,2281347731,2813293804,2229199093,2434408956,1805725459,1927594287,1689216681,2639805558,7092293114
4669800846,2211790053,2446669918,2198000348,2005582804,1788022139,1865505941,3102050399,2045363246,2311994294,1907322713,2402503353,1621865710,2451358902,2059687214,3219124950,6156524189
5299987041,2142477322,2349724069,2196286323,1889645831,1709627133,1736365046,2908159862,2379187254,2423874027,2073018063,2320896589,1593002751,1645418380,1992229889,2685444263,5305770486
4267034721,2246493228,2325626873,3980013819,2243993571,2295965758,1849087509,4268729032,3688599446,3479112492,4159250328,2400589389,1835343711,1673758836,1918868008,2635356369,7105650482
4672503018,2298569531,2407419126,2465248624,1746538214,2089481377,1761169600,3009997995,2832436347,2308793175,1995937256,2412310472,1642505915,1564816938,1863863110,2606324864,5373133354
4864307500,2241903128,2299900405,2342340292,1753323222,1673049616,1957949174,2670079233,2407557064,2128484184,2204639514,2220994983,1566117025,1745794498,1697912490,2407762590,6293374584
4096189129,2005229239,2099015120,2268931577,1679319304,1862049548,1941040602,2801607965,2134763744,2126863457,2243992697,2252047058,2041724254,2301150553,2319654294,2830977481,6149965996
4145361605,2157737589,2198651177,2562453718,3473254379,1790566308,1697896627,2743553304,2421329978,2037187097,1958770672,2122129764,1636055073,1625760566,1721860010,2547610583,5783632412
4044067580,2090221192,2154341971,2238882158,1726229242,1628146913,1839621186,2492696975,2221802194,2025818627,2080010044,2150855899,1605998459,1896483385,2094834342,2458410710,5140969699
4094078277,2029401181,2145595292,2186505209,1733526636,1845440203,1826854399,2419434149,2215666718,2020810213,2025127306,2278246861,1524733736,1633419311,1676139912,2424906184,5092551673
4167976064,2181978233,1976721768,2121933480,2396670635,1787681428,1775139166,2503353377,2044979751,2063924953,2075659813,2193016031,1571011040,1660283574,1694153990,2564122037,5978214992
4045911860,2123311368,2424182620,2556473419,1864953653,1899861459,1893907464,3119893937,2568814298,2101633344,2109453520,2061430970,2296754259,3107254298,1955383232,2574131172,5496835083
4007002468,2047073939,2114710997,2289848676,1553748443,2029459834,1903243894,2536714208,2245354880,1976588519,2054328621,2144876569,1679470189,1747099392,1483069843,2557351002,6212841040
3965953780,2680304798,2365051150,2185187374,1571641123,1778813991,1657912953,2438966743,2144383437,1928891759,2148482883,2055796219,1601401698,1729774451,1575604497,2524918686,5058404833
4022560248,1896060206,2054782187,2257579049,1757984427,2093326982,1587077900,2922571385,2193925321,2048960151,2041025025,2622440767,1804464775,1516237094,1717228015,2455281817,4993793321
4008158408,2001481883,1905853785,2170511133,1695248203,1769547890,1873610829,2499830064,2191927077,1994306091,2116125506,2078171368,1566949161,1699287717,1526627189,2864803530,5216194839
3936283810,2169817562,4105150898,2067450835,1728489258,1794923933,1535874649,2933722133,1872732906,2028636116,2739840729,2012556004,1755539906,1570717135,1690689043,3059288319,6040828797
4036182789,1941267986,2164040856,2038407292,1865649557,1688252548,1648226530,2648275355,1984983626,2115394286,1960362207,2783794982,1667958711,1613422781,1668312551,2539313863,4874931426
4092967995,1856464197,2193260735,2048196331,1712474841,1783686693,1647193250,2625378038,2086959959,1913439214,2119509717,2013330880,1719610967,1601426572,1608976903,2649466132,5260870522
4831354818,2572092207,2546714807,1847561065,1696504768,1804524053,1648189410,2722993537,1949597625,2119846936,1942422237,1980371623,1768831472,1551901483,1617319068,2686718701,7498370010
5698747419,3414287251,2649939274,2523179551,2046911561,2199327815,2042540523,2967142657,4618627207,3205171334,2755276280,2688325386,2095047058,2135523669,2684148187,4025247208,6883539167
5784689272,2975661240,2972494213,2473608893,2076235882,2850546955,1994585762,3648167273,3148046493,4469871258,3233584853,2569101556,1656374055,1631343365,1722777959,2437952703,6446920123
4146964878,2147970651,2271238492,2462441354,1698089853,1719960417,1764836019,2771364351,2070216902,1884720305,2048499853,2166694826,1541375396,1739331718,1627793731,2382721987,5598561056
3948391262,1956037845,2237054898,2074822174,1673739534,1663734619,1790879738,2613100804,2181953864,2074831122,1876849013,2222208167,1668995135,1684996995,1577276743,2434662790,4993701899
4038091627,2017978218,2138979432,2032993290,1786422752,1688510913,1627262242,2691984197,2774866561,1986143202,1800694188,2081431142,2136416443,1651922391,1867518943,2896510918,5514820735
4032173910,2104943735,2048532981,2224849708,1604158767,1465739001,1807750317,2584490456,2199682115,1997052903,2018018829,2291772804,1478786592,1634480922,1701541734,2470846675,5820296470
5831794053,2380995596,2676731312,2403620269,2014768015,2369003482,1634297372,3335943976,2227910230,2104837075,1966951549,2242592832,1678407692,1541276688,1621419267,2519563718,5221491638
4255891673,1944641109,2482416570,2034032779,1806712402,1583670263,1753833238,2868408401,2090914523,2120094782,2035142270,2211693301,1707580197,1629913135,1592547872,2449401728,5249660557
4152605112,1868612683,2292645685,2054212511,1767424802,1716899458,1602330897,2802003601,1997929377,2173571696,2016450540,2036030637,1889130087,1553168919,1592302126,2556899135,6379900264
4080021554,1973261162,2392120258,2057258559,1828189637,1757285147,1958983661,2921502957,2734498088,2137063683,1961702641,2274388366,1752872868,1561624422,1815081148,2305065522,6282550672
3955235155,2122206673,2213039737,2180138303,1702945674,1628830970,2503979562,3914238909,2138412439,1988777186,2175937245,2510746071,1720387737,1658107970,1541700564,2646351442,5443075058
3989469734,1981763721,2184762926,2111799793,1654660596,1795337707,1695709880,2881007803,2018791545,1938935277,2098092077,2130292001,1784114049,1604424244,1599984981,3325248185,6379796068
4139827553,1960947354,2317337870,2124374718,1878448738,1711757544,1680598143,2793623310,1982881322,2169521696,2118428092,2313597839,1642111016,1611550532,1883151583,2533621263,5038126216
4088757202,2044816999,2232195791,2149426884,2439318448,1702899447,1788717647,2879386664,1988379587,2064352647,2013418055,2259348654,1711810123,1724885715,1758193299,2519001373,5134534607
4054161360,2062746641,2197829961,2011174972,1795612243,1668881816,1726690719,2775391095,2121734035,2115920513,2005481568,2308092082,1620152057,1593888678,2492342454,2637641584,6495493485
4102243906,2321423696,2244600694,2031774866,1814189321,1698210296,1755836549,2694974308,2103518028,2059426281,1935358886,2257017100,1641756225,1911680216,1961969238,2477557297,6683303467
4166259739,2438929912,3193462021,2459864704,1751649594,1827874145,1722095118,2525344079,2205788398,2137440404,2247113584,2209140790,1777938901,1637174149,1581477312,2735136878,5050622377
